,Athlete,Bodyweight (kg),Snatch (kg),Clean & Jerk (kg),Total (kg),Ranking,Url,Title,Year,Gender
0,Halil Mutlu (TUR),55.62,137.5,167.5,305.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
1,Wu Wenxiong (CHN),55.48,125.0,162.5,287.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
2,Zhang Xiangxiang (CHN),55.94,125.0,162.5,287.5,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
3,Wang Shin-yuan (TPE),55.38,125.0,160.0,285.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
4,Sergio Álvarez (CUB),55.66,120.0,155.0,275.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
5,Adrian Jigău (ROM),55.72,122.5,152.5,275.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
6,Vitali Dzerbianiou (BLR),55.96,125.0,150.0,275.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
7,Yang Chin-yi (TPE),55.58,120.0,150.0,270.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
8,Oleksandr Likhvald (UKR),55.86,120.0,155.0,270.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
9,Hwang Kyu-dong (KOR),55.94,115.0,152.5,267.5,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
10,Nelson Castro (COL),55.32,115.0,145.0,260.0,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
11,Luis Medrano (GUA),55.94,115.0,142.5,257.5,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
12,Koki Tagashira (JPN),55.44,112.5,140.0,252.5,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
13,Éric Bonnel (FRA),55.7,112.5,140.0,252.5,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
14,Yasuji Kikuzuma (JPN),55.82,105.0,145.0,250.0,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
15,Thandava Murthy Muthu (IND),55.9,110.0,135.0,245.0,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
16,Mehmet Yağcı (AUS),55.94,105.0,130.0,235.0,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
17,Orlando Vásquez (NCA),55.84,102.5,130.0,232.5,18,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
18,Gino Soupprayen (MRI),55.88,95.0,115.0,210.0,19,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
19,Martinho de Araújo (IOA),55.54,67.5,90.0,157.5,20,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
20,Manuel Minginfel (FSM),55.7,-1,-1,-1,21,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
21,Ivan Ivanov (BUL),55.92,130.0,162.5,292.5,22,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
22,Tara Nott (USA),47.48,82.5,102.5,185.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2000 Summer Olympics – Women's 48 kg,2000,Women
23,Raema Lisa Rumbewas (INA),47.98,80.0,105.0,185.0,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2000 Summer Olympics – Women's 48 kg,2000,Women
24,Sri Indriyani (INA),47.28,82.5,100.0,182.5,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2000 Summer Olympics – Women's 48 kg,2000,Women
25,Kay Thi Win (MYA),47.48,80.0,100.0,180.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2000 Summer Olympics – Women's 48 kg,2000,Women
26,Robin Goad (USA),47.66,77.5,100.0,177.5,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2000 Summer Olympics – Women's 48 kg,2000,Women
27,Kaori Niyanagi (JPN),47.66,75.0,100.0,175.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2000 Summer Olympics – Women's 48 kg,2000,Women
28,Eva Giganti (ITA),46.56,77.5,92.5,170.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2000 Summer Olympics – Women's 48 kg,2000,Women
29,Sabrina Richard (FRA),46.88,70.0,87.5,157.5,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2000 Summer Olympics – Women's 48 kg,2000,Women
30,Maria Elisabete Jorge (BRA),47.4,60.0,75.0,135.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2000 Summer Olympics – Women's 48 kg,2000,Women
31,Dika Toua (PNG),47.36,50.0,67.5,117.5,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2000 Summer Olympics – Women's 48 kg,2000,Women
32,Donka Mincheva (BUL),47.62,-1,-1,-1,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2000 Summer Olympics – Women's 48 kg,2000,Women
33,Izabela Dragneva (BUL),47.78,85.0,105.0,190.0,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2000 Summer Olympics – Women's 48 kg,2000,Women
34,Nikolaj Pešalov (CRO),61.56,150.0,175.0,325.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
35,Leonidas Sabanis (GRE),61.3,147.5,170.0,317.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
36,Henadzi Aliashchuk (BLR),61.68,142.5,175.0,317.5,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
37,Le Maosheng (CHN),61.28,140.0,175.0,315.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
38,Mehdi Panzvan (IRI),61.52,140.0,162.5,302.5,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
39,Hiroshi Ikehata (JPN),61.78,135.0,165.0,300.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
40,Vladimir Popov (MDA),61.56,135.0,160.0,295.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
41,Elkhan Suleymanov (AZE),61.84,130.0,162.5,292.5,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
42,Yurik Sarkisyan (AUS),61.74,125.0,165.0,290.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
43,Zoltán Farkas (HUN),61.76,132.5,155.0,287.5,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
44,Marcus Stephen (NRU),61.6,122.5,162.5,285.0,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
45,Samson Matam (FRA),61.88,125.0,160.0,285.0,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
46,Dmitriy Lomakin (KAZ),61.92,132.5,150.0,282.5,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
47,Kim Young-tae (KOR),61.92,120.0,155.0,275.0,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
48,Sunday Mathias (NGR),61.24,115.0,150.0,265.0,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
49,Im Yong-su (PRK),61.7,137.5,-1,-1,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
50,Ümürbek Bazarbaýew (TKM),61.78,125.0,-1,-1,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
51,Aleksey Bortkov (RUS),61.82,-1,-1,-1,18,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
52,Naim Süleymanoğlu (TUR),61.9,-1,-1,-1,19,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
53,Chom Singnoi (THA),61.92,-1,-1,-1,20,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
54,Sevdalin Minchev (BUL),61.56,140.0,177.5,317.5,21,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_62_kg,Weightlifting at the 2000 Summer Olympics – Men's 62 kg,2000,Men
55,Yang Xia (CHN),52.46,100.0,125.0,225.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_53_kg,Weightlifting at the 2000 Summer Olympics – Women's 53 kg,2000,Women
56,Li Feng-ying (TPE),52.42,97.5,115.0,212.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_53_kg,Weightlifting at the 2000 Summer Olympics – Women's 53 kg,2000,Women
57,Winarni Binti Slamet (INA),52.44,90.0,112.5,202.5,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_53_kg,Weightlifting at the 2000 Summer Olympics – Women's 53 kg,2000,Women
58,Franca Gbodo (NGR),52.0,85.0,110.0,195.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_53_kg,Weightlifting at the 2000 Summer Olympics – Women's 53 kg,2000,Women
59,Swe Swe Win (MYA),52.08,85.0,110.0,195.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_53_kg,Weightlifting at the 2000 Summer Olympics – Women's 53 kg,2000,Women
60,Sanamacha Chanu (IND),52.16,85.0,110.0,195.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_53_kg,Weightlifting at the 2000 Summer Olympics – Women's 53 kg,2000,Women
61,Mari Nakaga (JPN),52.58,77.5,105.0,182.5,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_53_kg,Weightlifting at the 2000 Summer Olympics – Women's 53 kg,2000,Women
62,Marioara Munteanu (ROM),53.0,82.5,97.5,180.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_53_kg,Weightlifting at the 2000 Summer Olympics – Women's 53 kg,2000,Women
63,Karla Fernández (VEN),52.6,80.0,95.0,175.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_53_kg,Weightlifting at the 2000 Summer Olympics – Women's 53 kg,2000,Women
64,Tarana Abbasova (AZE),52.78,75.0,90.0,165.0,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_53_kg,Weightlifting at the 2000 Summer Olympics – Women's 53 kg,2000,Women
65,Galabin Boevski (BUL),68.78,162.5,195.0,357.5,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
66,Georgi Markov (BUL),68.92,165.0,187.5,352.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
67,Siarhei Laurenau (BLR),68.42,157.5,182.5,340.0,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
68,Zhang Guozheng (CHN),68.64,152.5,185.0,337.5,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
69,Rudik Petrosyan (ARM),68.84,147.5,187.5,335.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
70,Valerios Leonidis (GRE),68.4,145.0,185.0,330.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
71,Lee Bae-young (KOR),68.64,142.5,187.5,330.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
72,Kim Hak-bong (KOR),68.84,147.5,182.5,330.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
73,Turan Mirzayev (AZE),68.5,147.5,180.0,327.5,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
74,Youssef Sbai (TUN),68.48,142.5,177.5,320.0,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
75,Yoshihisa Miyaji (JPN),68.92,150.0,170.0,320.0,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
76,François Demeure (BEL),68.58,140.0,170.0,310.0,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
77,Giuseppe Ficco (ITA),68.92,132.5,170.0,302.5,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
78,Yasin Arslan (TUR),68.2,135.0,165.0,300.0,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
79,Sébastien Groulx (CAN),68.3,130.0,167.5,297.5,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
80,Alexi Batista (PAN),68.48,112.5,130.0,242.5,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
81,Wan Jianhui (CHN),68.98,147.5,-1,-1,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Men's 69 kg,2000,Men
82,Soraya Jiménez (MEX),56.92,95.0,127.5,222.5,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
83,Ri Song-hui (PRK),53.9,97.5,122.5,220.0,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
84,Khassaraporn Suta (THA),56.84,92.5,117.5,210.0,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
85,Maryse Turcotte (CAN),57.28,90.0,115.0,205.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
86,Aleksandra Klejnowska (POL),57.16,90.0,112.5,202.5,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
87,Khin Moe Nwe (MYA),57.12,90.0,110.0,200.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
88,Nataliya Skakun (UKR),57.66,85.0,112.5,197.5,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
89,Hanna Batsiushka (BLR),57.68,90.0,107.5,197.5,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
90,Dagmar Daneková (SVK),56.74,82.5,105.0,187.5,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
91,Natasha Barker (AUS),57.52,77.5,102.5,180.0,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
92,Ingeborg Marx (BEL),57.48,77.5,100.0,177.5,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
93,Meagan Warthold (AUS),57.14,75.0,100.0,175.0,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
94,Sophia Vandagne (SEY),57.14,72.5,87.5,160.0,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
95,Leila Lassouani (ALG),57.6,60.0,82.5,142.5,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
96,Melissa Fejeran (GUM),57.8,57.5,75.0,132.5,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
97,Evelyn Ebhomien (NGR),56.86,92.5,-1,-1,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
98,Yuriko Takahashi (JPN),57.32,85.0,-1,-1,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_58_kg,Weightlifting at the 2000 Summer Olympics – Women's 58 kg,2000,Women
99,Zhan Xugang (CHN),76.2,160.0,207.5,367.5,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
100,Viktor Mitrou (GRE),76.48,165.0,202.5,367.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
101,Arsen Melikyan (ARM),76.68,167.5,197.5,365.0,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
102,Sergey Filimonov (KAZ),76.9,167.5,195.0,362.5,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
103,Ilirjan Suli (ALB),76.66,162.5,192.5,355.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
104,Jon Chol-ho (PRK),76.58,162.5,190.0,352.5,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
105,Ingo Steinhöfel (GER),76.58,160.0,190.0,350.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
106,Dmytro Hnidenko (UKR),76.58,160.0,190.0,350.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
107,Idalberto Aranda (CUB),76.86,150.0,200.0,350.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
108,Mehmet Yılmaz (TUR),76.6,160.0,187.5,347.5,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
